City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lorengau,-2.0226,147.2712,299.99,82,{'all': 96},"{'speed': 1.1, 'deg': 276, 'gust': 1.2}",PG,2023-12-03 17:37:07 UTC
1,papatowai,-46.5619,169.4708,282.32,59,{'all': 100},"{'speed': 5.93, 'deg': 242, 'gust': 9.85}",NZ,2023-12-03 17:37:08 UTC
2,chizhou,30.6578,117.4831,280.76,43,{'all': 90},"{'speed': 0.67, 'deg': 48, 'gust': 0.87}",CN,2023-12-03 17:37:08 UTC
3,adamstown,-25.066,-130.1015,295.47,84,{'all': 8},"{'speed': 6.72, 'deg': 89, 'gust': 7.57}",PN,2023-12-03 17:37:08 UTC
4,kitimat,54.0524,-128.6534,275.36,99,{'all': 100},"{'speed': 1.3, 'deg': 148, 'gust': 2.74}",CA,2023-12-03 17:37:08 UTC
5,kodiak,57.79,-152.4072,277.88,87,{'all': 75},"{'speed': 7.72, 'deg': 10, 'gust': 11.83}",US,2023-12-03 17:37:08 UTC
6,pechora,65.1472,57.2244,261.96,95,{'all': 100},"{'speed': 3.13, 'deg': 171, 'gust': 7.15}",RU,2023-12-03 17:37:09 UTC
7,iqaluit,63.7506,-68.5145,262.0,73,{'all': 75},"{'speed': 3.09, 'deg': 20}",CA,2023-12-03 17:37:09 UTC
8,qaqortoq,60.7167,-46.0333,268.58,71,{'all': 100},"{'speed': 4.46, 'deg': 42, 'gust': 5.53}",GL,2023-12-03 17:37:09 UTC
9,isafjordur,66.0755,-23.124,274.17,86,{'all': 100},"{'speed': 6.17, 'deg': 30}",IS,2023-12-03 17:37:09 UTC
10,vilyuchinsk,52.9306,158.4028,266.44,87,{'all': 64},"{'speed': 3.69, 'deg': 291, 'gust': 3.89}",RU,2023-12-03 17:37:10 UTC
11,pangody,65.85,74.4859,243.7,97,{'all': 6},"{'speed': 4.88, 'deg': 354, 'gust': 10.64}",RU,2023-12-03 17:37:10 UTC
12,albany,42.6001,-73.9662,280.19,93,{'all': 100},"{'speed': 0.94, 'deg': 108, 'gust': 4.88}",US,2023-12-03 17:37:10 UTC
13,kapa'a,22.0752,-159.319,294.87,91,{'all': 75},"{'speed': 2.57, 'deg': 290}",US,2023-12-03 17:37:10 UTC
14,beatrice,40.2681,-96.747,276.14,93,{'all': 40},"{'speed': 2.57, 'deg': 160}",US,2023-12-03 17:32:59 UTC
15,onega,63.9061,38.1404,255.2,100,{'all': 77},"{'speed': 1.76, 'deg': 124, 'gust': 2.23}",RU,2023-12-03 17:37:11 UTC
